Key,Species,Subject,Location,Home,ObservationNumber,Date,Time,Photoperiod,Weather,VisibilityIssue,Arrival,Condition,NumSubjectsInObservation,Interference,AggressionSeen,Dog,Coyote,PuzzleReset,TrialLengthAvg,TrialLengthMax,PropVigilantAvg_RT,PropVigilantMax_RT,LookAtCamera_RT,Touch_RT,WorkTimeAvg_PS,WorkTimeMax_PS,Urinate,TotalExplorationAvg_RT,TotalExplorationMax_RT,ExploratoryDiversityAvg_PS,ExploratoryDiversityMax_PS,ActivityRateAvg_PS,ActivityRateMax_PS,Solve_PS,WasSolveOffCamera,FinalSolverofLocation,Solve_PS_Binary,TrialNumber_RT,TrialNumber_PS,Dummy
Coyote 1_Coyote_Tilden Regional Park-Lake Anza_8_Alone,Coyote,Coyote 1,Tilden Regional Park-Lake Anza,No,8,11/22/2023,21:35:04,night,clear,No,NotFirst,Alone,1,No,No,Yes,Yes,No,28.462,28.462,0.034431874,0.034431874,Yes,Yes,3.397,3.397,No,5,5,3,3,1.471886959,1.471886959,Yes,No,Coyote,1,2,1,NA
Coyote 1_Coyote_Tilden Regional Park-Nimitz Way_2_Alone,Coyote,Coyote 1,Tilden Regional Park-Nimitz Way,No,2,11/16/2023,17:50:44,night,clear,No,NotFirst,Alone,1,No,No,Yes,Yes,No,8.132,8.132,0,0,No,Yes,5.9,5.9,No,4,4,4,4,0.677966102,0.677966102,Yes,No,Coyote,1,1,1,NA
Coyote 1_Coyote_Tudor Home_4_Alone,Coyote,Coyote 1,Tudor Home,Yes,4,1/31/2023,17:10:07,day,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,5.954,5.954,0,0,Yes,Yes,1.3,1.3,No,3,3,3,3,2.307692308,2.307692308,Yes,No,Coyote,1,1,1,NA
Coyote 1_Coyote_Wildcat Canyon Regional Park_6_Alone,Coyote,Coyote 1,Wildcat Canyon Regional Park,No,6,11/26/2023,18:30:40,night,clear,No,NotFirst,Alone,1,No,No,No,Yes,No,1.34,1.34,1,1,Yes,No,0,0,No,0,0,0,0,0,0,DidNotAttempt,DidNotAttempt,None,NA,1,NA,NA
Domestic Cat 1_Domestic Cat_Albany Waterfront Trail-Albany Bulb_1_Alone,Domestic Cat,Domestic Cat 1,Albany Waterfront Trail-Albany Bulb,No,1,11/30/2023,1:56:42,night,clear,Yes,First,Alone,1,No,No,No,No,No,282.812,282.812,0,0,Yes,Yes,281.413,281.413,No,51,51,7,7,0.181228301,0.181228301,No,No,Opossum,0,1,1,NA
Domestic Cat 1_Domestic Cat_Albany Waterfront Trail-Albany Bulb_3_Alone,Domestic Cat,Domestic Cat 1,Albany Waterfront Trail-Albany Bulb,No,3,11/30/2023,20:24:56,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,8.765,8.765,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Opossum,NA,2,NA,NA
Domestic Cat 1_Domestic Cat_Albany Waterfront Trail-Albany Bulb_4_Alone,Domestic Cat,Domestic Cat 1,Albany Waterfront Trail-Albany Bulb,No,4,12/2/2023,1:36:43,night,rainy,No,NotFirst,Alone,1,No,No,No,No,No,38.129,38.129,0,0,No,Yes,24.398,24.398,No,6,6,3,3,0.245921797,0.245921797,No,No,Opossum,0,3,2,NA
Domestic Cat 1_Domestic Cat_Albe Home_1_Alone,Domestic Cat,Domestic Cat 1,Albe Home,Yes,1,11/22/2022,4:47:32,night,clear,No,First,Alone,1,No,No,No,No,No,19.163,19.163,0.351301988,0.351301988,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,1,NA,NA
Domestic Cat 1_Domestic Cat_Albe Home_9_Alone,Domestic Cat,Domestic Cat 1,Albe Home,Yes,9,11/26/2022,12:02:02,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,2.266,2.266,0,0,No,No,0,0,No,0,0,0,0,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,2,NA,NA
Domestic Cat 1_Domestic Cat_Albe Home_10_Alone,Domestic Cat,Domestic Cat 1,Albe Home,Yes,10,11/27/2022,10:39:53,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,7.732,7.732,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,3,NA,NA
Domestic Cat 1_Domestic Cat_Andrews Home_12_Alone,Domestic Cat,Domestic Cat 1,Andrews Home,Yes,12,2/1/2023,17:53:25,night,clear,Yes,NotFirst,Alone,1,No,No,No,No,No,102.258,102.258,0,0,No,Yes,70.208,70.208,No,22,22,4,4,0.313354603,0.313354603,No,No,None,0,1,1,NA
Domestic Cat 1_Domestic Cat_Andrews Home_13_Alone,Domestic Cat,Domestic Cat 1,Andrews Home,Yes,13,2/1/2023,23:38:19,night,clear,Yes,NotFirst,Alone,1,No,No,No,No,No,12.551,12.551,0,0,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,2,NA,NA
Domestic Cat 1_Domestic Cat_Andrews Home_16_Alone,Domestic Cat,Domestic Cat 1,Andrews Home,Yes,16,2/2/2023,7:06:43,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,27.626,27.626,0,0,Yes,No,0,0,No,3,3,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,3,NA,NA
Domestic Cat 1_Domestic Cat_Andrews Home_28_Alone,Domestic Cat,Domestic Cat 1,Andrews Home,Yes,28,2/7/2023,17:32:20,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,26.035,26.035,0,0,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,4,NA,NA
Domestic Cat 1_Domestic Cat_Andrews Home_30_Alone,Domestic Cat,Domestic Cat 1,Andrews Home,Yes,30,2/8/2023,17:41:30,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,12.702,12.702,0,0,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,5,NA,NA
Domestic Cat 1_Domestic Cat_Bataclan Home_2_Alone,Domestic Cat,Domestic Cat 1,Bataclan Home,Yes,2,2/9/2023,15:58:53,day,clear,No,NotFirst,Alone,1,No,No,Yes,No,No,26.035,26.035,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,1,NA,NA
Domestic Cat 1_Domestic Cat_Bataclan Home_3_Alone,Domestic Cat,Domestic Cat 1,Bataclan Home,Yes,3,2/10/2023,14:43:15,day,clear,No,NotFirst,Alone,1,No,No,Yes,No,No,71.044,71.044,0,0,No,Yes,31.766,31.766,No,10,10,4,4,0.31480199,0.31480199,No,No,None,0,2,1,NA
Domestic Cat 1_Domestic Cat_Bates-Luterman Home_2_Alone,Domestic Cat,Domestic Cat 1,Bates-Luterman Home,Yes,2,11/28/2023,15:07:44,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,37.957,37.957,0,0,No,Yes,8.959,8.959,No,4,4,2,2,0.446478402,0.446478402,No,No,Raccoon,0,1,1,NA
Domestic Cat 1_Domestic Cat_Bates-Luterman Home_3_Alone,Domestic Cat,Domestic Cat 1,Bates-Luterman Home,Yes,3,11/28/2023,15:13:22,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,14.366,14.366,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,2,NA,NA
Domestic Cat 1_Domestic Cat_Bates-Luterman Home_4_Alone,Domestic Cat,Domestic Cat 1,Bates-Luterman Home,Yes,4,11/28/2023,15:18:02,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,16.131,16.131,0,0,No,Yes,0.599,0.599,No,1,1,1,1,1.669449082,1.669449082,No,No,Raccoon,0,3,2,NA
Domestic Cat 1_Domestic Cat_Belau Home_1_Alone,Domestic Cat,Domestic Cat 1,Belau Home,Yes,1,12/13/2023,15:19:57,day,clear,No,First,Alone,1,No,No,No,No,No,29.938,29.938,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,None,NA,1,NA,NA
Domestic Cat 1_Domestic Cat_Berges Home_2_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,2,1/28/2023,21:09:03,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,60.013,60.013,0,0,Yes,Yes,38.754,38.754,No,7,7,3,3,0.180626516,0.180626516,No,No,Raccoon,0,1,1,NA
Domestic Cat 1_Domestic Cat_Berges Home_3_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,3,1/28/2023,21:15:17,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,8.887,8.887,0,0,No,Yes,0.74,0.74,No,1,1,1,1,1.351351351,1.351351351,No,No,Raccoon,0,2,2,NA
Domestic Cat 1_Domestic Cat_Berges Home_4_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,4,1/28/2023,22:33:24,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,121.954,121.954,0,0,Yes,Yes,42.751,42.751,No,16,16,3,3,0.374260251,0.374260251,No,No,Raccoon,0,3,3,NA
Domestic Cat 1_Domestic Cat_Berges Home_6_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,6,1/29/2023,0:45:44,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,8.407,8.407,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,4,NA,NA
Group_Domestic Cat_Berges Home_9_Group,Domestic Cat,Group,Berges Home,Yes,9,1/29/2023,2:53:26,night,clear,No,NotFirst,Group,2,No,Yes,No,No,No,8.758,17.516,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,5,NA,NA
Group_Domestic Cat_Berges Home_11_Group,Domestic Cat,Group,Berges Home,Yes,11,1/29/2023,3:39:50,night,clear,No,NotFirst,Group,2,Yes,No,No,No,No,67.249,108.926,0,0,Yes,Yes,34.1605,63.297,No,17,30,5,5,0.497650796,0.473956112,No,No,Raccoon,0,6,4,NA
Domestic Cat 1_Domestic Cat_Berges Home_13_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,13,1/29/2023,4:06:00,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,39.495,39.495,0,0,No,Yes,3.182,3.182,No,3,3,2,2,0.942803268,0.942803268,No,No,Raccoon,0,7,5,NA
Group_Domestic Cat_Berges Home_14_Group,Domestic Cat,Group,Berges Home,Yes,14,1/29/2023,4:19:21,night,clear,No,NotFirst,Group,2,No,No,No,No,No,5.4845,10.969,0,0,No,Yes,0.5505,1.101,No,2,2,2,2,3.633060854,1.816530427,No,No,Raccoon,0,8,6,NA
Domestic Cat 1_Domestic Cat_Berges Home_15_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,15,1/29/2023,4:33:09,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,0.899,0.899,0,0,Yes,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,9,NA,NA
Domestic Cat 1_Domestic Cat_Berges Home_17_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,17,1/29/2023,4:44:06,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,18.978,18.978,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,10,NA,NA
Domestic Cat 1_Domestic Cat_Berges Home_19_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,19,1/29/2023,6:42:00,night,clear,No,NotFirst,Alone,1,No,No,No,No,No,7.186,7.186,0,0,No,No,0,0,No,2,2,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,11,NA,NA
Domestic Cat 1_Domestic Cat_Berges Home_21_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,21,1/29/2023,8:26:32,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,45.309,45.309,0,0,No,Yes,16.754,16.754,No,7,7,4,4,0.417810672,0.417810672,No,No,Raccoon,0,12,7,NA
Domestic Cat 1_Domestic Cat_Berges Home_22_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,22,1/29/2023,8:31:27,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,9.577,9.577,0,0,No,No,0,0,No,3,3,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,13,NA,NA
Domestic Cat 1_Domestic Cat_Berges Home_23_Alone,Domestic Cat,Domestic Cat 1,Berges Home,Yes,23,1/29/2023,8:40:08,day,clear,No,NotFirst,Alone,1,No,No,No,No,No,2.431,2.431,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,14,NA,NA
Group_Domestic Cat_Berges Home_24_Group,Domestic Cat,Group,Berges Home,Yes,24,1/29/2023,9:11:13,day,clear,No,NotFirst,Group,2,No,No,No,No,No,2.657,5.314,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,15,NA,NA
Group_Domestic Cat_Berges Home_30_Group,Domestic Cat,Group,Berges Home,Yes,30,1/29/2023,17:20:35,night,clear,No,NotFirst,Group,2,No,No,No,No,No,2.2515,4.503,0,0,No,No,0,0,No,1,1,1,1,0,0,DidNotAttempt,DidNotAttempt,Raccoon,NA,16,NA,NA
